Source,Target,Weight,Type
1,2,14.0,Undirected
1,14,197.0,Undirected
1,28,877.0,Undirected
1,44,13.0,Undirected
1,45,1894.0,Undirected
1,6,4.0,Undirected
1,7,121.0,Undirected
1,9,121.0,Undirected
1,15,3.0,Undirected
1,17,98.0,Undirected
1,19,721.0,Undirected
1,22,35.0,Undirected
1,23,315.0,Undirected
1,27,42.0,Undirected
1,32,193.0,Undirected
1,40,850.0,Undirected
1,42,28.0,Undirected
1,55,5.0,Undirected
1,58,18.0,Undirected
1,70,69.0,Undirected
1,110,14.0,Undirected
1,35,12.0,Undirected
1,34,10.0,Undirected
1,180,1.0,Undirected
2,1,15.0,Undirected
2,2,11950.0,Undirected
2,3,3986.0,Undirected
2,4,18223.0,Undirected
2,5,7868.0,Undirected
2,6,289914.0,Undirected
2,7,780471.0,Undirected
2,8,109343.0,Undirected
2,9,421808.0,Undirected
2,10,248018.0,Undirected
2,11,41702.0,Undirected
2,14,15566.0,Undirected
2,15,68517.0,Undirected
2,17,43990.0,Undirected
2,18,1104774.0,Undirected
2,19,8741.0,Undirected
2,21,37389.0,Undirected
2,22,90186.0,Undirected
2,23,2054824.0,Undirected
2,25,9820.0,Undirected
2,26,283987.0,Undirected
2,27,97711.0,Undirected
2,28,127.0,Undirected
2,29,69462.0,Undirected
2,30,2896.0,Undirected
2,31,776737.0,Undirected
2,32,124110.0,Undirected
2,33,23695.0,Undirected
2,34,139048.0,Undirected
2,35,5829.0,Undirected
2,36,42418.0,Undirected
2,37,27882.0,Undirected
2,39,154206.0,Undirected
2,40,1130.0,Undirected
2,44,519414.0,Undirected
2,45,1477238.0,Undirected
2,49,865.0,Undirected
2,51,278.0,Undirected
2,52,82.0,Undirected
2,55,77.0,Undirected
2,60,840.0,Undirected
2,62,222.0,Undirected
2,63,1869.0,Undirected
2,68,694.0,Undirected
2,69,151.0,Undirected
2,70,3411.0,Undirected
2,71,3955.0,Undirected
2,76,9546.0,Undirected
2,78,19828.0,Undirected
2,80,21978.0,Undirected
2,84,844.0,Undirected
2,86,91.0,Undirected
2,88,280.0,Undirected
2,90,232.0,Undirected
2,92,88.0,Undirected
2,96,23386.0,Undirected
2,99,65505.0,Undirected
2,102,1648.0,Undirected
2,105,327092.0,Undirected
2,108,69.0,Undirected
2,109,26212.0,Undirected
2,110,18709.0,Undirected
2,112,1905.0,Undirected
2,115,3.0,Undirected
2,116,100.0,Undirected
2,120,87.0,Undirected
2,125,29542.0,Undirected
2,133,25.0,Undirected
2,134,24145.0,Undirected
2,139,1636.0,Undirected
2,140,1302.0,Undirected
2,146,20861.0,Undirected
2,148,402.0,Undirected
2,150,24848.0,Undirected
2,155,519.0,Undirected
2,156,16881.0,Undirected
2,158,28540.0,Undirected
2,165,84.0,Undirected
2,166,4632.0,Undirected
2,182,3421.0,Undirected
2,212,5464.0,Undirected
2,13,16172.0,Undirected
2,42,208.0,Undirected
2,58,361.0,Undirected
2,59,108.0,Undirected
2,66,15.0,Undirected
2,82,16.0,Undirected
2,89,132.0,Undirected
2,97,7.0,Undirected
2,113,73197.0,Undirected
2,119,66.0,Undirected
2,190,144.0,Undirected
2,16,312.0,Undirected
2,48,111.0,Undirected
2,91,573.0,Undirected
2,103,762.0,Undirected
2,128,599.0,Undirected
2,187,136.0,Undirected
2,67,2114.0,Undirected
2,75,27861.0,Undirected
2,72,2.0,Undirected
2,73,33.0,Undirected
2,77,1.0,Undirected
2,79,13.0,Undirected
2,83,3.0,Undirected
2,87,64.0,Undirected
2,98,582.0,Undirected
2,117,204.0,Undirected
2,121,800.0,Undirected
2,178,68.0,Undirected
3,1,7.0,Undirected
3,2,1139.0,Undirected
3,4,10007.0,Undirected
3,5,339.0,Undirected
